,날짜,일일확진자수
0,2020-09-05,168
1,2020-09-04,198
2,2020-09-03,195
3,2020-09-02,267
4,2020-09-01,235
5,2020-08-31,248
6,2020-08-30,299
7,2020-08-29,323
8,2020-08-28,371
9,2020-08-27,441
10,2020-08-26,320
11,2020-08-25,280
12,2020-08-24,266
13,2020-08-23,397
14,2020-08-22,332
15,2020-08-21,324
16,2020-08-20,288
17,2020-08-19,297
18,2020-08-18,246
19,2020-08-17,197
20,2020-08-16,279
21,2020-08-15,166
22,2020-08-14,103
23,2020-08-13,56
24,2020-08-12,54
25,2020-08-11,34
26,2020-08-10,28
27,2020-08-09,36
28,2020-08-08,43
29,2020-08-07,20
30,2020-08-06,43
31,2020-08-05,33
32,2020-08-04,34
33,2020-08-03,23
34,2020-08-02,30
35,2020-08-01,31
36,2020-07-31,36
37,2020-07-30,18
38,2020-07-29,48
39,2020-07-28,28
40,2020-07-27,25
41,2020-07-26,58
42,2020-07-25,113
43,2020-07-24,41
44,2020-07-23,59
45,2020-07-22,63
46,2020-07-21,45
47,2020-07-20,26
48,2020-07-19,34
49,2020-07-18,39
50,2020-07-17,60
51,2020-07-16,61
52,2020-07-15,39
53,2020-07-14,33
54,2020-07-13,62
55,2020-07-12,44
56,2020-07-11,35
57,2020-07-10,45
58,2020-07-09,49
59,2020-07-08,63
60,2020-07-07,44
61,2020-07-06,46
62,2020-07-05,61
63,2020-07-04,63
64,2020-07-03,63
65,2020-07-02,54
66,2020-07-01,50
67,2020-06-30,43
68,2020-06-29,42
69,2020-06-28,62
70,2020-06-27,51
71,2020-06-26,39
72,2020-06-25,28
73,2020-06-24,51
74,2020-06-23,46
75,2020-06-22,17
76,2020-06-21,48
77,2020-06-20,67
78,2020-06-19,49
79,2020-06-18,59
80,2020-06-17,43
81,2020-06-16,34
82,2020-06-15,36
83,2020-06-14,34
84,2020-06-13,48
85,2020-06-12,56
86,2020-06-11,45
87,2020-06-10,50
88,2020-06-09,38
89,2020-06-08,38
90,2020-06-07,57
91,2020-06-06,51
92,2020-06-05,39
93,2020-06-04,39
94,2020-06-03,49
95,2020-06-02,38
96,2020-06-01,35
97,2020-05-31,27
98,2020-05-30,39
99,2020-05-29,58
100,2020-05-28,79
101,2020-05-27,40
102,2020-05-26,19
103,2020-05-25,16
104,2020-05-24,25
105,2020-05-23,23
106,2020-05-22,20
107,2020-05-21,12
108,2020-05-20,32
109,2020-05-19,13
110,2020-05-18,15
111,2020-05-17,13
112,2020-05-16,19
113,2020-05-15,27
