날짜,누적환진률,누적검사수,누적검사완료,치료 중,격리해제 ,사망자수,확진자수
9/5/2020,1.0584553504,2037045,1984968,4668,16009,333,21010
9/4/2020,1.0597770817,2018906,1966640,4728,15783,331,20842
9/3/2020,1.0613728954,2000552,1945028,4786,15529,329,20644
9/2/2020,1.0630881387,1980295,1923547,4767,15356,326,20449
9/1/2020,1.0609056124,1959080,1902337,4660,15198,324,20182
8/31/2020,1.0611161854,1937689,1879813,4650,14973,324,19947
8/30/2020,1.0555963109,1924170,1866149,4473,14903,323,19699
8/29/2020,1.0456625754,1909329,1855283,4314,14765,321,19400
8/28/2020,1.0384832711,1887717,1837006,4210,14551,316,19077
8/27/2020,1.0291944377,1869579,1817538,3932,14461,313,18706
8/26/2020,1.0165797393,1849506,1796711,3585,14368,312,18265
8/25/2020,1.0107154423,1825837,1775475,3349,14286,310,17945
8/24/2020,1.0057349380,1804422,1756427,3137,14219,309,17665
8/23/2020,0.9978653630,1791186,1743622,2890,14200,309,17399
8/22/2020,0.9808621687,1775800,1733373,2524,14169,309,17002
8/21/2020,0.9714010668,1754123,1716078,2241,14120,309,16670
8/20/2020,0.9620472195,1734083,1699085,1976,14063,307,16346
8/19/2020,0.9535391635,1715064,1684042,1746,14006,306,16058
8/18/2020,0.9427433406,1697042,1671823,1521,13934,306,15761
8/17/2020,0.9315487305,1688470,1665506,1293,13917,305,15515
8/16/2020,0.9228922834,1681787,1659782,1103,13910,305,15318
8/15/2020,0.9094273492,1675296,1653678,833,13901,305,15039
8/14/2020,0.9041601213,1665084,1644952,705,13863,305,14873
8/13/2020,0.9022051188,1654898,1637100,648,13817,305,14770
8/12/2020,0.9030999639,1646652,1629277,623,13786,305,14714
8/11/2020,0.9047400106,1637844,1620355,626,13729,305,14660
8/10/2020,0.9073724476,1628303,1611907,663,13658,305,14626
8/9/2020,0.9079222090,1624650,1607847,651,13642,305,14598
8/8/2020,0.9076239288,1620514,1604409,629,13629,304,14562
8/7/2020,0.9093790242,1613652,1596584,673,13543,303,14519
8/6/2020,0.9127731583,1606487,1588456,696,13501,302,14499
8/5/2020,0.9151122018,1598187,1579697,748,13406,302,14456
8/4/2020,0.9180449328,1589780,1571056,770,13352,301,14423
8/3/2020,0.9209808775,1579757,1562356,808,13280,301,14389
8/2/2020,0.9217967786,1576246,1558478,806,13259,301,14366
8/1/2020,0.9227885516,1571830,1553552,802,13233,301,14336
7/31/2020,0.9256107866,1563796,1545466,821,13183,301,14305
7/30/2020,0.9282479734,1556215,1537197,837,13132,300,14269
7/29/2020,0.9326686653,1547307,1527981,882,13069,300,14251
7/28/2020,0.9360953297,1537704,1517260,896,13007,300,14203
7/27/2020,0.9398595945,1526974,1508204,971,12905,299,14175
7/26/2020,0.9410046604,1522926,1503712,962,12890,298,14150
7/25/2020,0.9401228724,1518634,1498953,928,12866,298,14092
7/24/2020,0.9383340224,1510327,1489768,864,12817,298,13979
7/23/2020,0.9421157792,1500854,1479436,883,12758,297,13938
7/22/2020,0.9439441754,1492071,1470320,884,12698,297,13879
7/21/2020,0.9472577108,1482390,1458526,877,12643,296,13816
7/20/2020,0.9504510691,1470193,1448891,903,12572,296,13771
7/19/2020,0.9523011114,1465299,1443346,894,12556,295,13745
7/18/2020,0.9539540284,1460204,1437281,898,12519,294,13711
7/17/2020,0.9574853264,1451017,1427907,919,12460,293,13672
7/16/2020,0.9599814943,1441348,1417944,925,12396,291,13612
7/15/2020,0.9624159901,1431316,1408019,914,12348,289,13551
7/14/2020,0.9676816390,1420616,1396327,941,12282,289,13512
7/13/2020,0.9721832542,1408312,1386467,986,12204,289,13479
7/12/2020,0.9720252058,1402144,1380314,950,12178,289,13417
7/11/2020,0.9732960405,1396941,1373991,941,12144,288,13373
7/10/2020,0.9797533795,1384890,1361363,985,12065,288,13338
7/9/2020,0.9862307555,1371771,1347859,987,12019,287,13293
7/8/2020,0.9915229430,1359735,1335723,989,11970,285,13244
7/7/2020,0.9966586491,1346194,1322519,982,11914,285,13181
7/6/2020,1.0024387563,1331796,1310504,1005,11848,284,13137
7/5/2020,1.0035985728,1326055,1304406,976,11832,283,13091
